iteration,candidate_index,objective,phi_n,u_avg_n,ar_n,lt_0_n,lt_1_n,eps_1_n,a_1_n,phi,u_avg,ar,lt_0,lt_1,eps_1,a_1
55,23,-0.43528233437880504,0.9013179714424775,0.005487791171434133,0.9974027788212492,0.1867445902955594,0.5784982571009021,0.43794518907815677,0.15735566540054222,0.8407907828654866,0.5104268032257249,4.989870837402872,0.006867445902955594,0.0589249128550451,0.6408698539929862,462.9422661602169
55,24,-0.44717676139095025,0.7116782068256046,0.0047666323612906,0.997401967318472,0.17808349287530573,0.5915638111150389,0.3917801066552037,0.15277800924946172,0.7270069240953627,0.5090566014864522,4.98986767254204,0.006780834928753057,0.05957819055575195,0.615479058660362,461.1112036997847
55,25,-0.44715356646976556,0.7115834620566006,0.004496662006810278,0.9974212268485743,0.18016055100629255,0.5991601292177478,0.5394325996821727,0.15711748381833207,0.7269500772339604,0.5085436578129395,4.98994278470944,0.0068016055100629256,0.05995800646088739,0.696687929825195,462.8469935273328
55,26,-0.4472656031169316,0.7116877362490563,0.0044467644414475475,0.9974147301406077,0.27349164667722614,0.592381325068954,0.40355537805465186,0.1567062934830269,0.7270126417494338,0.5084488524387504,4.98991744754837,0.007734916466772261,0.059619066253447706,0.6219554579300586,462.6825173932108
55,27,-0.44558321614038743,0.6859165135537774,0.004768099807433725,0.9974068922071717,0.18362223285611096,0.5966078560911823,0.4990924860037155,0.15758874473376533,0.7115499081322665,0.5090593896341241,4.98988687960797,0.006836222328561109,0.05983039280455911,0.6745008673020435,463.03549789350615
55,28,-0.43806418093463406,0.8605533968090856,0.004835854265498784,0.997401967318472,0.18362223285611096,0.5972236708186625,0.4990924860037155,0.157135063574577,0.8163320380854515,0.5091881231044477,4.98986767254204,0.006836222328561109,0.05986118354093312,0.6745008673020435,462.8540254298308
55,29,-0.44452226362227426,0.7116732959528054,0.0054649956522942605,0.9956917272867105,0.2020099922096305,0.4571328051015292,0.39814629139952895,0.11446947613578971,0.7270039775716832,0.510383491739359,4.983197736418171,0.007020099922096305,0.052856640255076456,0.6189804602697409,445.7877904543159
55,30,-0.44714288722971357,0.7116697905264884,0.0047666323612906,0.997401967318472,0.17808349287530573,0.5915638111150389,0.41135448665148405,0.14749568751626393,0.727001874315893,0.5090566014864522,4.98986767254204,0.006780834928753057,0.05957819055575195,0.6262449676583162,458.9982750065056
55,31,0.0,0.7116887760696917,0.003558512773733582,1.0575645513365752,0.3146926718711368,0.5231056056844647,0.3547854554727514,0.1501376273525807,0.7270132656418151,0.5067611742700938,5.224501750212644,0.008146926718711367,0.05615528028422324,0.5951320005100132,460.0550509410323
55,32,-0.4355455181727673,0.7116452530403956,0.00534321573021268,0.9238109856822653,0.2359667947301965,0.5934948415459719,0.5070040185791244,0.20257368988008023,0.7269871518242375,0.5101521098874041,4.702862844160835,0.007359667947301965,0.059674742077298594,0.6788522102185184,481.0294759520321
55,33,-0.4471975192290937,0.7116887760696917,0.0047666323612906,0.997401967318472,0.17473742982014018,0.5917519994329001,0.3815450431461299,0.15277800924946172,0.7270132656418151,0.5090566014864522,4.98986767254204,0.0067473742982014015,0.059587599971645006,0.6098497737303714,461.1112036997847
55,34,-0.4468275728323656,0.7116887760696917,0.0057728565779617946,0.9974015351242864,0.3625434392286742,0.5913663319462859,0.40838059293125123,0.0009291993040397295,0.7270132656418151,0.5109684274981274,4.989865986984717,0.008625434392286743,0.05956831659731429,0.6246093261121881,400.3716797216159
55,35,-0.445480727248798,0.7348749994197683,0.005444335973571578,0.9974076960819258,0.17473742982014018,0.5919640955561556,0.3809903346998452,0.1501376273525807,0.740924999651861,0.510344238349786,4.989890014719511,0.0067473742982014015,0.05959820477780778,0.6095446840849148,460.0550509410323
55,36,-0.4457941244746762,0.7116619456571385,0.004541808845467793,0.9974020469894604,0.09241710298951142,0.6767713852882739,0.34741532085217364,0.1583073961421529,0.7269971673942832,0.5086294368063888,4.989867983258896,0.005924171029895114,0.0638385692644137,0.5910784264686955,463.32295845686116
55,37,-0.44712238521981384,0.7116751341293056,0.004847840489547266,0.997449893838238,0.22706915063993638,0.5940269165571067,0.4374312606284898,0.15400397698297857,0.7270050804775834,0.5092108969301398,4.990054585969128,0.0072706915063993635,0.059701345827855336,0.6405871933456694,461.6015907931914
55,38,-0.4361304089285643,0.5639382756545657,0.004887246218965669,0.9977705278863873,0.21539284284827379,0.5929484603293959,0.47568835761669015,0.15499438026693635,0.6383629653927394,0.5092857678160347,4.991305058756911,0.0071539284284827375,0.05964742301646979,0.6616285966891795,461.99775210677456
55,39,-0.4218492932524932,0.7116887760696917,0.004925445505448607,0.8417550483360694,0.17473742982014018,0.5442332884294365,0.38211114727146933,0.16350211549067967,0.7270132656418151,0.5093583464603524,4.382844688510671,0.0067473742982014015,0.057211664421471825,0.6101611309993081,465.40084619627186
55,40,-0.44290525540752723,0.7115302245426736,0.005373984568913338,0.9723199541879198,0.24900097368487803,0.6106632805205003,0.43421774364033805,0.14175812802515972,0.7269181347256042,0.5102105706809353,4.892047821332888,0.0074900097368487805,0.060533164026025016,0.6388197590021859,456.7032512100639
55,41,-0.44212267987461296,0.6417308140008179,0.00534321573021268,0.9974119990874334,0.3759220367811932,0.5934948415459719,0.4460378342248936,0.20257368988008023,0.6850384884004908,0.5101521098874041,4.98990679644099,0.008759220367811932,0.059674742077298594,0.6453208088236915,481.0294759520321
55,42,-0.4472479981959012,0.7115834620566006,0.004496662006810278,0.9974212268485743,0.18016055100629255,0.5991601292177478,0.47818949498654084,0.16221643755366996,0.7269500772339604,0.5085436578129395,4.98994278470944,0.0068016055100629256,0.05995800646088739,0.6630042222425975,464.886575021468
55,43,-0.43325658148808804,0.5699132282932429,0.005373984568913338,0.979097708588848,0.24900097368487803,0.6106632805205003,0.43421774364033805,0.14175812802515972,0.6419479369759458,0.5102105706809353,4.9184810634965075,0.0074900097368487805,0.060533164026025016,0.6388197590021859,456.7032512100639
55,44,0.0,0.6859165135537774,0.004768099807433725,1.0008136396478915,0.18362223285611096,0.5966078560911823,0.4990924860037155,0.15758874473376533,0.7115499081322665,0.5090593896341241,5.003173194626777,0.006836222328561109,0.05983039280455911,0.6745008673020435,463.03549789350615
55,45,-0.44736315101723256,0.7116271586880236,0.004010980775300186,0.9974023725359483,0.19069575188850774,0.5919640955561556,0.4190935895586498,0.2633111783014543,0.7269762952128143,0.5076208634730703,4.989869252890198,0.006906957518885077,0.05959820477780778,0.6305014742572573,505.3244713205817
55,46,-0.4443640554673305,0.7575314953814563,0.0042087752372916435,0.9974094200073447,0.19161286287469403,0.5913139501154341,0.40278699820253994,0.15506151759405232,0.7545188972288739,0.5079966729508542,4.989896738028644,0.0069161286287469405,0.0595656975057717,0.6215328490113969,462.0246070376209
55,47,-0.44728981450083055,0.7116673752008411,0.0042087752372916435,0.9974030097222019,0.1774808434307251,0.5913139501154341,0.4197556929547203,0.01223670280300971,0.7270004251205047,0.5079966729508542,4.989871737916587,0.006774808434307251,0.0595656975057717,0.6308656311250962,404.89468112120386
55,48,-0.4463374213504045,0.7115950064761152,0.0047666323612906,0.9974087828210911,0.18886944926410912,0.6452336690408162,0.40866468121507127,0.1562933166185891,0.7269570038856692,0.5090566014864522,4.989894253002255,0.006888694492641091,0.06226168345204081,0.6247655746682892,462.51732664743565
55,49,-0.44666776792270385,0.7116648796536893,0.0054649956522942605,0.9956917272867105,0.2020099922096305,0.5915144635051034,0.4177206713958094,0.10918715440259193,0.7269989277922136,0.510383491739359,4.983197736418171,0.007020099922096305,0.05957572317525517,0.6297463692676951,443.67486176103677
