iteration,individual,solution
0,43,0.389354,0.729519,0.245057,0.760958,0.144533
0,44,0.991504,0.927849,0.880525,0.159055,0.571615
0,45,0.733138,0.243522,0.205473,0.941409,0.190585
0,46,0.982851,0.143212,0.636304,0.397922,0.677260
0,47,0.116576,0.824649,0.842154,0.853788,0.511686
0,48,0.936615,0.337520,0.750825,0.752835,0.713339
0,49,0.767217,0.443095,0.079905,0.532367,0.098794
0,50,0.477995,0.620201,0.680318,0.917337,0.478641
0,51,0.570050,0.430615,0.755525,0.775244,0.619496
0,52,0.379511,0.856542,0.259016,0.106000,0.582422
0,53,0.865940,0.822334,0.680857,0.614707,0.604063
0,54,0.088763,0.450122,0.606146,0.216317,0.339449
0,55,0.533854,0.746002,0.755792,0.383216,0.367580
0,56,0.063956,0.501515,0.998718,0.520221,0.318416
0,57,0.963668,0.457050,0.537686,0.360209,0.652364
0,58,0.529876,0.539331,0.473521,0.928038,0.568080
0,59,0.701620,0.209927,0.916607,0.544999,0.341346
0,60,0.077978,0.830043,0.602420,0.120145,0.621489
0,61,0.408585,0.011153,0.321112,0.765506,0.333513
0,62,0.018555,0.940684,0.809488,0.217953,0.154390
0,63,0.225949,0.560022,0.601570,0.988653,0.895024
0,64,0.774415,0.496957,0.047146,0.049497,0.306895
0,65,0.717760,0.809121,0.135993,0.486576,0.999332
0,66,0.106785,0.269939,0.095337,0.624585,0.770642
0,67,0.550230,0.668644,0.838541,0.094867,0.092983
0,68,0.149478,0.949134,0.221392,0.027853,0.556462
0,69,0.972004,0.748630,0.414175,0.536713,0.847985
0,70,0.707114,0.662019,0.457170,0.840810,0.323962
0,71,0.379926,0.828635,0.541449,0.685688,0.076961
0,72,0.100881,0.895348,0.250835,0.642640,0.997491
0,73,0.454906,0.427878,0.801172,0.262757,0.688530
0,74,0.047220,0.157300,0.665473,0.048206,0.545037
0,75,0.856191,0.369469,0.397511,0.334763,0.328740
0,76,0.036619,0.179834,0.586263,0.407659,0.416010
0,77,0.161058,0.235414,0.567303,0.317138,0.219035
0,78,0.120534,0.460496,0.467904,0.242399,0.296788
0,79,0.992850,0.971884,0.690326,0.495884,0.137979
0,80,0.392871,0.193589,0.461372,0.848161,0.645696
0,81,0.843984,0.376880,0.723539,0.518379,0.459879
0,82,0.686466,0.943083,0.300521,0.351133,0.757515
0,83,0.736181,0.315529,0.988761,0.299811,0.974052
0,84,0.263348,0.981114,0.518891,0.770786,0.272915
0,85,0.671331,0.232210,0.099214,0.928498,0.099778
0,86,0.657992,0.446291,0.008155,0.572086,0.929045
0,87,0.822627,0.915582,0.530465,0.359057,0.425413
0,88,0.462939,0.399342,0.874341,0.840091,0.245086
0,89,0.491789,0.760416,0.910848,0.603547,0.120640
0,90,0.344719,0.966094,0.791868,0.969461,0.606079
0,91,0.227543,0.252362,0.431065,0.527210,0.245214
0,92,0.236111,0.850436,0.200593,0.102993,0.814944
0,93,0.779923,0.954300,0.307429,0.854614,0.366370
0,94,0.878097,0.427424,0.965021,0.697203,0.076671
